symbol,Net Income,Total Assets,Shareholder's Equity,Total Debt,Total Liabilities,Total Revenue,Operating Income,Gross Profit,EBIT,EBITDA,Operating Cash Flow,Free Cash Flow,Short Term Debt,Long Term Debt,Current Liabilities,Current Assets,Cash And Cash Equivalents,Inventory,Accounts Receivable,Accounts Payable,Retained Earnings,Capital Expenditure,Interest Expense,Interest Income,Depreciation,Goodwill,Intangible Assets,Market Capitalization,Enterprise Value,Book Value of Equity,Number of Shares Outstanding,Cost of Goods Sold (COGS),Sales Per Share,Earnings Per Share (EPS),Payout Ratio,Effective Tax Rate,Return on Sales,Dividend Per Share,Enterprise Value to EBITDA,Price to Sales,Price to Book,PEG Ratio,Price to Free Cash Flow,Price to Operating Cash Flow,Price to Cash Flow,Interest Coverage Ratio,Lease Obligations,Deferred Revenue,Non-Controlling Interest,Deferred Tax Liabilities,Deferred Tax Assets,Net Interest Expense,Cash Flow Per Share,Net Cash Flow,Minority Interest,Total Equity,Capital Lease Obligation,Tax Rate,Cost of Goods Sold,Depreciation And Amortization,Cash and Cash Equivalents,Shareholders Equity,Sales Growth Rate,Operating Expense,Earnings Per Share,Total Dividends,Book Value of Debt,Net Sales,Working Capital,Quick Assets,Total Capital Employed,Equity Multiplier,Operating Income Before Depreciation and Amortization,Adjusted Net Income,Net Debt,Gross Profit Margin,Operating Profit Margin,Net Profit Margin,Return on Equity (ROE),Return on Assets (ROA),Current Ratio,Quick Ratio,Debt-to-Equity Ratio,Debt-to-Assets Ratio,Asset Turnover Ratio,Inventory Turnover Ratio,Price-to-Earnings (P/E) Ratio,Price-to-Book (P/B) Ratio,Price-to-Sales (P/S) Ratio,Price-to-Cash Flow (P/CF) Ratio,Enterprise Value-to-EBITDA (EV/EBITDA),Enterprise Value-to-Sales (EV/Sales),Enterprise Value-to-Operating Cash Flow (EV/OCF),Enterprise Value-to-Free Cash Flow (EV/FCF),Dividend Payout Ratio,Price/Earnings-to-Growth (PEG) Ratio,Price-to-NAV,Return on Investment (ROI),Return on Capital Employed (ROCE),Return on Invested Capital (ROIC),EBIT Margin,EBITDA Margin,Cash Return on Assets,Operating Return on Assets,NOPAT Margin,Cash Ratio,Operating Cash Flow Ratio,Net Working Capital,Days Sales Outstanding (DSO),Days Inventory Outstanding (DIO),Days Payable Outstanding (DPO),Debt Service Coverage Ratio,Total Asset Turnover,Working Capital Turnover,Total Operating Expense,Cash Flow to Capital Expenditures,Receivable Turnover Ratio,Total Debt to Equity,Total Debt to Total Assets,Label,yf_symbol,past_price,current_price,price_change_pct
RELIANCE,1.0,1.0,1.0,1.0,1.0,1.0,0.8937247659332652,1.0,1.0,1.0,1.0,0.4655340747716928,0.5954560772860031,1.0,1.0,1.0,1.0,1.0,0.6485007981185521,1.0,1.0,0.0,0.9054789469458202,1.0,1.0,0.038328372559248,0.038328372559248,1.0,1.0,1.0,0.0970722673336507,0.9540062466887156,0.0223906502821458,0.0948338520891304,0.9236634096463348,0.9748493007248782,0.0233201831218946,0.0083333333333333,0.3182966357158815,0.0912680616232485,0.0042888263974344,0.0767099898951182,0.956414531609621,0.8170519097168942,0.956414531609621,0.8243134099070079,0.3379619886990034,0.0,1.0,1.0,0.0,0.5811703249824991,0.080751130576049,1.0,1.0,1.0,0.3379619886990034,0.6136675,0.9540062466887156,0.0,1.0,1.0,0.0018016129032258,1.0,0.0948338520891304,0.0447543352,1.0,1.0,1.0,1.0,1.0,0.6857189872570466,0.0095618628713179,0.1279080276338063,1.0,0.9990019378763052,0.8917006939893466,1.0,0.6183675594881036,0.9148343754311428,0.0431881741909708,0.0021468285741525,0.6844952888801816,0.0,0.0084246149945844,0.0001783634816701,0.0037774626486085,0.0026230543358014,0.1330542802737698,0.8170519097168942,0.7043782827499384,0.0022739960391532,0.0576638820557905,0.9678390938150548,0.001992,0.0767099898951182,0.8581770692509758,0.9148343754311428,0.1565750567433309,0.5095633459624216,1.0,1.0,0.1478937514763179,0.922371400356636,0.49491516585458,0.013135257447575,0.8380596632328376,1.0,0.000208674429885,0.0071255242156013,0.002033731824165,0.4177807088915954,0.0,0.6554614415364316,0.832165587178107,0.0654169267530617,0.0013595250608145,0.6867057959367051,0.0010464341824599,Hold,RELIANCE.NS,1239.8499755859375,1218.949951171875,-1.6856897871200434
TCS,0.7648905307784897,0.0833997328128278,0.2168509742908075,0.0231725707946449,0.0664057021685804,0.2673428302540108,0.4947076247172027,0.4139313940282177,0.5096894172183634,0.385236338459052,0.3248079596321881,0.92655118999503,0.0084531565940238,0.043539609821328,0.1160236703405016,0.2403403253071324,0.0926407816919516,0.0001832820579956,0.9110751379663508,0.018141352304389,0.530333887174205,0.982509500729316,0.0347159262322622,0.3518845974872033,0.0886455827420989,0.0046846072805752,0.0046846072805752,0.7548208077376775,0.6516502199076818,0.1898003679384765,0.0519049094704941,0.1993022320952137,0.011002325417684,0.0976370922594899,0.9236674766442542,0.9751391476191644,0.0243725636153324,0.0466666666666666,0.3185176383455744,0.0969439075177113,0.0278570856997505,0.0794801212585804,0.9564117949476036,0.8170614139422565,0.9564117949476036,0.8255080360172783,0.1259662226465941,0.0058327884758621,0.0119943778822713,0.0136548021452764,0.2435305156343936,0.0905729103185628,0.0670938811395063,0.2652940179630571,0.0119943778822713,0.2168509742908075,0.1259662226465941,0.645,0.1993022320952137,0.1260825138602242,0.0926407816919516,0.2168509742908075,0.0017,0.3382186117726689,0.0976370922594899,0.1735,0.0045782670726773,0.4139313940282177,0.9617762516432684,0.3559575205621907,0.0894961571099921,0.6813704171347323,0.8127633869854286,0.8844099335673212,0.0648823393666359,0.9991773850277448,0.4947076247172026,0.7648905307784896,0.630323233493248,0.920405120304266,0.1045944866160607,0.0065864095345282,0.6812990587233033,1.6167876431290729e-06,0.0270055634360419,0.1823533061013368,0.0043995707657608,0.033935621012763,0.141379126689613,0.8170614139422565,0.7058791235875908,0.0003310779784458,0.057735394964933,0.967321462843616,0.0085620004,0.0794801212585804,0.8582207782395118,0.920405120304266,0.1607612955387027,0.5191680137931225,0.5096894172183632,0.3852363384590519,0.1689223543536809,0.946807270886554,0.4949356209447496,0.0109012067743082,0.843438147810419,0.9617762516432684,0.0010965902363687,0.0070775140741018,0.0014653555098863,0.4180388012546563,1.616787643129073e-06,0.651997833870942,0.3723416624702634,0.0649053465612419,0.0002584795623386,0.6833167653086795,0.000290750703298,Buy,TCS.NS,4223.76953125,3231.5,-23.49251122507017
BHARTIARTL,0.3837560009280246,0.2531516806361376,0.207414979460764,0.622843515089183,0.4082966047384277,0.1664503298322871,0.3454777649968455,0.3706238056900515,0.252439496713932,0.3875226427260772,0.5286941278586597,0.8902296060939503,0.1724477645472927,0.5767943482104091,0.3489665313401966,0.1239652944568486,0.073431730521985,0.0023820121751652,0.0969368035685177,0.1969564461785992,0.428371451897066,0.7380251564922196,0.6263163761914525,0.0604281060958585,0.6010055501338433,0.0677674982356009,0.0677674982356009,0.5138206256672123,0.5213497915477248,0.2036309748738488,0.0816302550163831,0.0803635940888786,0.0043369981909055,0.0861076200913656,0.9236650596695174,0.9751924016012068,0.0232486595581736,0.0066666666666666,0.3183716150305956,0.0978180645645277,0.0196804413062933,0.0767099898951182,0.9564113790482368,0.8170524725791524,0.9564113790482368,0.8242493443191178,1.0,0.0430912375180444,0.182690746881917,0.0348975419531377,0.0,0.6747718192370598,0.0690569376950075,0.2395300231599164,0.182690746881917,0.207414979460764,1.0,0.812565,0.0803635940888786,1.0,0.073431730521985,0.207414979460764,0.001658064516129,0.3883523800558695,0.0861076200913656,0.0143017416,0.4917916690749467,0.3706238056900515,0.0,0.1824983455708568,0.2711161381090481,0.7091721698696682,1.0,0.8266105896294147,0.4538573858774565,0.999350543033724,0.3454777649968454,0.3837560009280244,0.6184615563080668,0.9143695067425124,0.0152217339192968,0.0011227226156406,0.7070687671436743,4.340000382887652e-07,0.005539285113357,0.006623503757755,0.0139580945737055,0.0271993715440718,0.1429708536964432,0.8170524725791524,0.7051436689504195,0.0081912748898167,0.0576665165977941,0.9673139853547982,0.004708,0.0767099898951182,0.8581907688413749,0.9143695067425124,0.1565790775572003,0.5088644519702261,0.2524394967139318,0.3875226427260771,0.1565160288661477,0.9242478554308412,0.4949128442706756,0.0028728907483575,0.839680326772786,0.0,0.0001873970524753,0.0070789113079747,0.0029609389212664,0.4177729273695582,4.340000382887652e-07,0.6498426287739619,0.427533452569067,0.0653862733230862,0.0015139200475368,0.7080811826104695,0.0025746005715195,Buy,BHARTIARTL.NS,1597.199951171875,1756.5999755859375,9.979966772294835
ITC,0.512566800912954,0.052293079322711,0.1990466639588489,0.0008766055549456,0.0204000314036196,0.078036066250566,0.2273258878037826,0.1695658880999645,0.2415206485029967,0.1704192355950914,0.1645839740381728,0.5649511477081612,0.0003991237924062,0.0498195749531428,0.034452724470737,0.0873548698024448,0.0064375417845204,0.0936236172023303,0.0825454496990524,0.0268971335990626,0.4713798159214712,0.976697670767842,0.0061826513135892,0.1591912517449976,0.0357338710855556,0.0019938476172941,0.0019938476172941,0.3165490051086294,0.2706881652324185,0.1738491533803231,0.179445511304614,0.0415988521090251,0.0009688422555032,0.0860416372407209,0.9236651372245308,0.9748892499148228,0.0251885585829313,0.0125,0.318529560033465,0.1005957712946048,0.0144328712652528,0.0794017213143315,0.9564113192323584,0.817053339903299,0.9564113192323584,0.8336579184583636,0.004588085269443,0.0018117947937885,0.0086350971468173,0.0297714922298907,0.0,0.1332784325387075,0.0538411546297102,0.219049596113653,0.0086350971468173,0.1990466639588489,0.004588085269443,0.58848,0.0415988521090251,0.0459408259479584,0.0064375417845204,0.1990466639588489,0.0017338709677419,0.1464175311783192,0.0860416372407209,0.0404088884,0.0002215212014832,0.1695658880999645,0.7037848237416955,0.0843369993382283,0.059495444558497,0.6785476580749921,0.3367115424956038,0.4590185646426887,0.0242935903222095,0.9993177068045936,0.2273258878037826,0.5125668009129538,0.6236915215684831,0.9185604163263108,0.0,0.0052552232749443,0.6785057524819484,2.6660423327811933e-06,0.0125718750864928,8.248356275047506e-05,0.004177552113122,0.0190777320731102,0.1465551832578573,0.817053339903299,0.7057722609126602,3.523201728241151e-05,0.0577443810115181,0.9673357191142248,0.0168199992,0.0794017213143315,0.8581808077240451,0.9185604163263108,0.1585784008469097,0.515775008796406,0.2415206485029966,0.1704192355950913,0.1574661916008261,0.9368243813372618,0.4950021337062977,0.0025510260689702,0.8462428635841213,0.7037848237416955,0.0003403740873269,0.0071870373693464,0.0018177731160435,0.4209224878441459,2.6660423327811937e-06,0.651590531812548,0.161189671638681,0.0652923943092681,0.0008333793810932,0.682492223330103,1.7541662941308078e-05,Buy,ITC.NS,432.2275390625,421.5499877929688,-2.4703542242335645
HINDUNILVR,0.4116165672213001,0.0447035188361573,0.1731021899680476,0.0042872578306013,0.0326137581954547,0.067660010831639,0.1435273234436414,0.1227109608058797,0.1441228285653574,0.0954493510720245,0.1544967406424253,0.5697944123317791,0.0021231184003594,0.0484932917868895,0.032403233568266,0.0453605266356972,0.0084854718436616,0.0263271584735222,0.0614505151119672,0.0587856057675597,0.4265823073522594,0.9903390174185488,0.017409803528734,0.050814332247557,0.0234308028515419,0.0446623093681917,0.0446623093681917,0.3374541088442258,0.2934948735252242,0.1510646874989077,0.0337053403847252,0.046384789149736,0.0043461738557208,0.0888809617825267,0.9236814495693304,0.9748493007248782,0.0241433303609313,0.035,0.3190868700062162,0.103551974793955,0.0224232689551827,0.0767099898951182,0.9564125315188636,0.8170720217370613,0.9564125315188636,0.8249018793684532,0.0231013980193417,0.0,0.007297712200642,0.0908860297500889,0.0001327141774574,0.1796245091951917,0.0601870196063768,0.2167994125289499,0.007297712200642,0.1731021899680476,0.0231013980193417,0.655,0.046384789149736,0.0307555339727247,0.0084854718436616,0.1731021899680476,0.0016354838709677,0.1365125456504298,0.0888809617825267,0.149584,0.0011498903345329,0.1227109608058797,0.5801787693298337,0.0545236819714492,0.0507507970042796,0.680743120109565,0.1924114816895946,0.2987463827100228,0.0378274392398161,0.9992173256376836,0.1435273234436412,0.4116165672213001,0.621584800140742,0.9166911999223558,0.0,0.0036123795297354,0.6807095635516711,3.143644776527788e-06,0.0127508474661152,0.0002882608301116,0.008704526433622,0.0291550046623476,0.1504605910495506,0.8170720217370613,0.7093672984500071,0.0001945775972022,0.0577717616510286,0.967339412118045,0.0191,0.0767099898951182,0.8582293621239521,0.9166911999223558,0.1575514312130399,0.5127408932170447,0.1441228285653573,0.0954493510720243,0.1584545575950918,0.9300705748179954,0.4949500909838479,0.0035752465957342,0.8457316278083454,0.5801787693298337,0.0002922484291533,0.0071050968170042,0.0022113519247623,0.4180949651783372,3.1436447765277884e-06,0.653422709557695,0.1502853669971696,0.0651063871068669,0.0009706618545966,0.682735015633878,0.0001003571789497,Buy,HINDUNILVR.NS,2451.0,2366.14990234375,-3.4618562895246843
LT,0.4392006099580208,0.1934110133231532,0.2122503280239755,0.3360534693853967,0.2855674056477926,0.2431743916081432,0.2068011872518602,0.2834107431676607,0.21791897932211,0.1633585183373795,0.1709991538419017,0.5666712434466634,0.326221467086048,0.293241247166608,0.4444272323950492,0.463901001434116,0.1229982000514271,0.0433343588400864,1.0,0.2987654237934262,0.5467988398069688,0.97045760483507,0.1422364499685449,0.2277403443462075,0.0549020982150165,0.0199476305910992,0.0199476305910992,0.2467042192491112,0.253568856051525,0.2007043998435659,0.0197224459084024,0.2190323744690051,0.0274988459270776,0.0942884625892701,0.9236742175856484,0.974938581658448,0.0231699835442057,0.0233333333333333,0.3184675672564337,0.0912164993940828,0.0097201967208662,0.0767099898951182,0.9564130164600056,0.8170743374302886,0.9564130164600056,0.8243292262197237,0.0358448578580873,0.0070792142290027,0.127422789833332,0.0075182413239241,0.003597881350871,0.2211491644592548,0.0683485440551452,0.0728961193018132,0.127422789833332,0.2122503280239755,0.0358448578580873,0.60475,0.2190323744690051,0.0929419084618186,0.1229982000514271,0.2122503280239755,0.0018435483870967,0.3556244509393055,0.0942884625892701,0.1172435548,0.3485793378700259,0.2834107431676607,0.7958927593000997,0.6663715375161503,0.2040533919266359,0.6982960218365721,0.326375420041133,0.3766487023538918,0.3085780452589596,0.9990751310016838,0.2068011872518602,0.4392006099580206,0.6201762555780327,0.914810033609118,0.0,0.0032189416860644,0.6969208450522257,6.134923960985018e-07,0.010592206378581,0.000835764878399,0.0051766357870289,0.0132616911088612,0.1333252003927559,0.8170743374302886,0.7057017606081464,0.0030487332950629,0.057728415290925,0.96733087629311,0.010788,0.0767099898951182,0.8582101997692018,0.914810033609118,0.1570030155505387,0.5106641267024212,0.2179189793221099,0.1633585183373794,0.144264640391374,0.9224102585887568,0.4949005614674814,0.00377848092996,0.8352257405676344,0.7958927593000997,0.0013232468923953,0.0070870893952659,0.0022717422948566,0.4177765555753551,6.134923960985022e-07,0.6526603314973912,0.3915035857542239,0.0653179947776676,0.0002141564438976,0.6955853982908647,0.0018181881978571,Buy,LT.NS,3464.300048828125,3115.949951171875,-10.055425129070072
HCLTECH,0.4654043153141898,0.0568209292996686,0.1920907063995477,0.0166290135262406,0.0379498354678916,0.1219813464970301,0.1937854117115094,0.1808519314761474,0.198827835957315,0.152077643668866,0.1956690014526215,0.6653008523769282,0.0067063581217703,0.0550026037030397,0.057191403250658,0.1262092851792848,0.0972589354589868,0.0012109707403285,0.3994796082504032,0.0144076870897032,0.4084000997993045,0.9931450848034118,0.0259459316189877,0.0,0.0820945958028664,0.051479538085448,0.051479538085448,0.236949319902833,0.2090749660117951,0.167422686898493,0.0388207308288512,0.0964455745343228,0.0001037455292757,0.0906006398274548,0.923670456355058,0.9749733658914196,0.0239616603955362,0.04,0.3585950890377626,0.5859905609876794,1.0,0.0790097215930868,0.9564117089176486,0.8170602233859856,0.9564117089176486,0.8248415780573096,0.05385091353387,0.0126820795076836,0.0058173231777924,0.0108036134559231,0.3000667552312611,0.1863887295326498,0.0622716110920812,0.2210359826018189,0.0058173231777924,0.1920907063995477,0.05385091353387,0.6268174999999999,0.0964455745343228,0.1055451013718587,0.0972589354589868,0.1920907063995477,0.0016951612903225,0.1931946631994506,0.0906006398274548,0.095425,0.0103946435796268,0.1808519314761474,0.7640615785696232,0.1863864116219708,0.0591650709707299,0.6802239439547384,0.311314237976321,0.4233411005599181,0.0321079527546726,0.9991397126180152,0.1937701356968382,0.4654043153141897,0.6224216581488309,0.9172293426577904,0.1093088294047143,0.0069964930898125,0.6802187958408933,2.4418732963842023e-06,0.0180856487925029,0.0121485471884364,0.0042186516213605,1.0,0.7499549527066389,0.8170602233859856,0.7053254683714659,0.0003411142986418,0.0576895251504147,0.9673016802306806,0.01742,0.0790097215930868,0.8582024517798448,0.9172293426577904,0.1580388086818506,0.5135589787593611,0.1988278359573149,0.1520776436688658,0.161219903166609,0.9321688805931316,0.4949279982338881,0.023180778467518,0.843687621584988,0.7640615785696232,0.0010538041705754,0.0070780707474482,0.0015009078649332,0.4178988015958731,2.441873296384203e-06,0.6517616422279304,0.2057265102710587,0.0647460815532881,0.0002689857500435,0.6832746483455658,0.0003062450033371,Buy,HCLTECH.NS,1982.739990234375,1390.550048828125,-29.867251597434556
MARUTI,0.4434549481753808,0.0656911607772347,0.2114446222672188,0.0003426339479173,0.0357949275129504,0.1497359787983983,0.1421792151489182,0.1427644025275518,0.1694265317778825,0.1364526246163304,0.162355397846217,0.4874020585196115,0.0002858908110536,0.0500019921188571,0.0653148765232226,0.048146742436481,0.02735407559784,0.0348111540223865,0.094252828784348,0.0952387359356867,0.4084000997993045,0.9398239176363624,0.0119373268900507,0.0,0.1033961233037699,0.0,0.0,0.205442294259535,0.1785604206998529,0.184282650073576,0.0045058705471703,0.1492327496144691,0.0755079196618696,0.1326358396163097,0.9236939543754616,0.9749282624356987,0.0235619328826034,0.1041666666666666,0.3184348115508702,0.0922138130257878,0.0081646512282761,0.0775549670720234,0.9564231649475208,0.817140641734447,0.9564231649475208,0.8256726044990434,0.0013427393138366,0.0,0.0057572058570676,0.0055136895866472,0.0,0.1863887295326498,0.1172539453118464,0.238357905439756,0.0057572058570676,0.2114446222672188,0.0013427393138366,0.564765,0.1492327496144691,0.1329316903403342,0.02735407559784,0.2114446222672188,0.0017838709677419,0.1714909138262726,0.1326358396163097,0.3264,0.0,0.1427644025275518,0.5033250677389082,0.0545668546938518,0.0738268319880253,0.6793855259819505,0.2405873619583424,0.4065292864477454,0.0389254553907964,0.9990120425707112,0.1421792151489181,0.4434549481753805,0.6203554162082087,0.9164066048690146,0.0,0.0017935512275714,0.6793812237213067,2.0922856485360726e-06,0.0192029691352263,0.0007975529906565,0.0036294264060988,0.0104138418415855,0.1344056679285111,0.817140641734447,0.7052015899066416,1.797589745960706e-09,0.0577007002323101,0.967347857723057,0.003848,0.0775549670720234,0.8583213703760495,0.9164066048690146,0.1573923948220949,0.5118783982034366,0.1694265317778825,0.1364526246163303,0.1533629400066591,0.926054770194304,0.4949081664856665,0.0057177967782519,0.8404302086971573,0.5033250677389082,0.0002025475285295,0.0070888133191964,0.0018120121667372,0.4230865279983359,2.092285648536073e-06,0.6345597427855711,0.1887927208321033,0.0653910029376068,0.0014006581941168,0.6824660194122795,5.458011713502177e-06,Hold,MARUTI.NS,11497.7001953125,11599.0498046875,0.881477231562528
SUNPHARMA,0.4046700654574586,0.0486693141354635,0.1869703796968031,0.0094575925487227,0.0221113342710003,0.0530022839665107,0.1207750744323815,0.1436882992398671,0.1220174845040154,0.0866208910678277,0.1348278567068456,0.5174666040099039,0.0166819254100202,0.0495389532151288,0.0427422910630009,0.0924802475693104,0.0955068140910259,0.0645957321463638,0.2306571842459497,0.031692987324599,0.495723707749611,0.9855980717280536,0.0136862587047068,0.0951986970684039,0.0270617808076203,0.0219883754232,0.0219883754232,0.2263845881903147,0.1945732158768397,0.1662915401724425,0.0344189763102661,0.0181607027883245,0.0033787709201885,0.0888149789318819,0.9236665353168456,0.9748912579736526,0.0245435051288685,0.01125,0.3187659798362359,0.1012013987780812,0.0121016441676997,0.0774330116031917,0.9564124897748436,0.8170693398033855,0.9564124897748436,0.8249784819508524,0.0067212347548048,0.0059143507047569,0.0316017923299848,0.0022785592747568,0.0,0.1613598380160669,0.058328349245353,0.3473880133310738,0.0316017923299848,0.1869703796968031,0.0067212347548048,0.324555,0.0181607027883245,0.0646635101776536,0.0955068140910259,0.1869703796968031,0.0017096774193548,0.1907316031070683,0.0888149789318819,0.02924,0.0090390506408052,0.1436882992398671,0.698008094056674,0.1059045473166735,0.0476514629967635,0.6793513857915493,0.1719831526603561,0.3082599965633144,0.0144379389426778,0.9994434177178968,0.1207750744323814,0.4046700654574585,0.6201533382528036,0.9163073933711838,0.0,0.0053192887190165,0.6789520112449682,2.875500144799942e-06,0.009174621837269,4.679347489206422e-05,0.0061014293484762,0.016597335210311,0.148088209063582,0.8170693398033855,0.707518725655454,0.0011869901635681,0.057746714071262,0.9673347259174594,0.005774,0.0774330116031917,0.8582032820826373,0.9163073933711838,0.1571433950545133,0.511259143350428,0.1220174845040152,0.0866208910678275,0.1530006362241538,0.9265862354403144,0.4949480883625984,0.0305066923152603,0.8410726141591948,0.698008094056674,0.0014003323512588,0.0072509662831965,0.0025166502024134,0.4179080243640093,2.875500144799942e-06,0.6512886885067982,0.2099746132073833,0.0652697070766052,0.0002023519452758,0.6829538517015903,0.0002033461914239,Buy,SUNPHARMA.NS,1736.43505859375,1687.550048828125,-2.8152512542112844
ADANIENT,0.3418417123242851,0.0915335403153545,0.1595758269557392,0.1886802237232118,0.1403827165907001,0.1068915748492892,0.1096650581023218,0.1377633151397152,0.1018083546451785,0.0744459467234017,0.1240743984345691,0.2340041861421548,0.0430931813075713,0.2345456344502265,0.112368837171828,0.078763846301393,0.0237238364618153,0.0620989723113176,0.2007943253104563,0.1432836071915101,0.4408349782285345,0.853705709594919,0.1493674300329829,0.0974778966961377,0.0598477982646352,0.0026594096167418,0.0026594096167418,0.17282956476545,0.1807805708907091,0.1440384471240874,0.0163509709586407,0.0933509677814309,0.0141315869497118,0.0878077094775086,0.923666090435131,0.9748697537175138,0.0230181746853274,0.0010833333333333,0.318800217071945,0.0931325479764989,0.0161320793208632,0.0767099898951182,0.956409150403805,0.817086507596707,0.956409150403805,0.8242577916209943,0.2384935878308556,0.0801992683843865,0.0441586474030872,0.0407388801786458,0.0,0.2716453455463671,0.0631857406160134,0.2167341693498277,0.0441586474030872,0.1595758269557392,0.2384935878308556,0.8281925,0.0933509677814309,0.0,0.0237238364618153,0.1595758269557392,0.0016145161290322,0.1899031381855009,0.0878077094775086,0.00878,0.1563317281513231,0.1377633151397152,0.4752134044997312,0.0867867519616802,0.1004385784342693,0.699616673421681,0.0095618628713179,0.1279080276338063,0.1576194492492578,0.9990933963659075,0.1096650581023217,0.3418417123242849,0.6182297188901438,0.9144378123270612,0.0,0.0016580770139979,0.6986562073721904,1.4600454217176056e-06,0.0098381319718098,0.0002927399126742,0.0124953559455279,0.0219274513127671,0.1362289579301052,0.817086507596707,0.7080610714190365,0.0038215710391625,0.0577594440115128,0.9672183166559736,0.00077199996,0.0767099898951182,0.8582448942881029,0.9144378123270612,0.156428517672279,0.509052683537506,0.1018083546451784,0.0744459467234016,0.1452921080351045,0.9218458850758884,0.4948956593725105,0.0028824248530955,0.8364458831474392,0.4752134044997312,0.000604458765795,0.0071098275745603,0.0023803515065345,0.4177736269020614,1.4600454217176058e-06,0.6455987173380776,0.2090625640313254,0.0654359369634764,0.0004691565849003,0.6987483187648892,0.0021570360624583,Buy,ADANIENT.NS,2225.14990234375,2321.39990234375,4.325551276281201
